[08-Jul-2024 02:19:57.099676] ERROR: pid 1, fpm_conf_process_all_pools(), line 830: No pool defined. at least one pool section must be specified in config file
[08-Jul-2024 02:19:57.099840] ERROR: pid 1, fpm_conf_init_main(), line 1866: failed to post process the configuration
[08-Jul-2024 02:19:57.100002] ERROR: pid 1, fpm_init(), line 72: FPM initialization failed
[08-Jul-2024 02:45:00.298838] DEBUG: pid 1, fpm_scoreboard_init_main(), line 38: got clock tick '100'
[08-Jul-2024 02:45:00.299604] DEBUG: pid 1, fpm_signals_init_main(), line 221: Unblocking all signals
[08-Jul-2024 02:45:00.299824] DEBUG: pid 1, fpm_socket_af_inet_socket_by_addr(), line 324: Found address for 127.0.0.1, socket opened on 127.0.0.1
[08-Jul-2024 02:45:00.300446] DEBUG: pid 1, fpm_event_init_main(), line 359: event module is epoll and 1 fds have been reserved
[08-Jul-2024 02:45:00.300516] NOTICE: pid 1, fpm_init(), line 83: fpm is running, pid 1
[08-Jul-2024 02:45:00.300559] DEBUG: pid 1, fpm_children_make(), line 449: blocking signals before child birth
[08-Jul-2024 02:45:00.302040] DEBUG: pid 1, fpm_children_make(), line 473: unblocking signals, child born
[08-Jul-2024 02:45:00.302184] DEBUG: pid 1, fpm_children_make(), line 479: [pool www] child 7 started
[08-Jul-2024 02:45:00.302257] DEBUG: pid 1, fpm_children_make(), line 449: blocking signals before child birth
[08-Jul-2024 02:45:00.304055] DEBUG: pid 1, fpm_children_make(), line 473: unblocking signals, child born
[08-Jul-2024 02:45:00.304264] DEBUG: pid 1, fpm_children_make(), line 479: [pool www] child 8 started
[08-Jul-2024 02:45:00.304386] DEBUG: pid 1, fpm_event_loop(), line 387: 5968 bytes have been reserved in SHM
[08-Jul-2024 02:45:00.304478] NOTICE: pid 1, fpm_event_loop(), line 388: ready to handle connections
[08-Jul-2024 02:45:00.304603] DEBUG: pid 1, fpm_systemd_heartbeat(), line 67: have notify start to systemd
[08-Jul-2024 02:45:00.304692] NOTICE: pid 1, fpm_systemd_heartbeat(), line 74: systemd monitor interval set to 10000ms
[08-Jul-2024 02:45:01.305362] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:02.306359] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:03.307505] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:04.308337] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:05.309355] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:06.310356] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:07.311348] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:08.312377] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:09.313342] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:10.313451] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:11.314334] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:12.315338] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:13.316344] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:14.317571] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:15.318341] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:16.319337] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:17.320505] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:18.321328] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:19.322328] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:20.322410] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:21.323330] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:22.324354] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:23.325399] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:24.326732] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:25.327346] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:26.328632] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:27.329343] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:28.330386] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
[08-Jul-2024 02:45:29.331330] DEBUG: pid 1, fpm_pctl_perform_idle_server_maintenance(), line 398: [pool www] currently 0 active children, 2 spare children, 2 running children. Spawning rate 1
